,BankNumber,difC,difA,Zero,sig-0,sig-1,sig-2,alpha,beta-0,beta-1,Scale
0,1,1410.0101628346229,-10.564529745926356,10.226453343790341,239.83451259950277,145.76897298534692,11.546017849465033,0.09290302007925082,0.017133085701401738,0.9237655231610581,True
1,2,1540.9465075754795,3.598651900625778,33.46921925993492,25.762779479552595,149.78929637667002,19.315645581843704,0.10548878221608944,0.03698503922798829,0.023076466702637626,True
2,3,1511.351185219841,2.4447533492335816,33.734609357470674,40.8848698455605,177.3919327422181,22.78164249021803,0.11080282720496337,0.037606314607188,0.040272481179396524,True
3,4,2821.8906075817667,-12.749517155735946,16.703172749018446,9.03724052456457,493.3220212818365,11.699088175123597,355.6379692973259,0.008249662362139868,1.5809097598881885,True
4,5,2823.440214076831,-12.217059859001091,17.6977257519661,6.7492964880023365,500.9614153829274,11.474186112329017,2.4001678675456697,0.010186891676183665,1.42885549163063,True
5,6,3074.939688276561,-7.731748088533591,19.00134943341227,-143.13224282482386,1068.4434182541813,40.33159297019611,0.3333695835813305,0.01280150920848711,1.138859916276442,True
6,7,2535.994751964457,-2.2721742148158626,18.661600505135397,-86.4701403090863,740.1423104649983,64.68069648528419,0.16165776086959294,-0.32590668928979477,58.71888830793777,True
7,8,2764.731810532508,-7.106917417998977,17.604263424190517,-59.85022635543162,723.5016914304445,17.250844233677068,2.2266500365859163,0.011775929019612856,0.790671973502377,True
8,9,2961.7915205785666,-6.0231208860555645,22.452228492756646,17.017944306475023,588.7556038442276,-1.1210446624770034,936.2152418589943,0.008837058137120971,0.6031293505217081,True
9,10,2793.5264062324663,-5.01815550227623,23.08138000735951,39.721254217162304,481.5094814739792,-0.2559736541657853,7281494.480301174,0.009721451334663067,0.5938751382947417,True
10,11,2851.21248964173,-5.565870401565219,22.33983587686229,23.627351868199508,538.0521178996461,1.139749379750567,534.9643665742573,0.009811684369865226,0.6174850977192189,True
11,12,2804.1190238582844,-3.3693579640670253,31.10567516836731,-5.7108798804029215,685.9332515463527,4.714804355765447,1135077.0741938124,0.010547523068113698,0.3886781105393048,True
12,13,2996.1856689655947,-2.168406333506107,43.57744679109598,-12.620077171537384,885.7608750773727,17.185155588465996,0.5110353204127619,0.00957954236158065,0.3156829125801024,True
13,14,6095.228645483565,12.950722861764513,44.02854677170066,46.22129354474868,780.2312918128341,-45.4100157946213,0.05931902740378038,0.007583790378545755,0.07548487180837987,True
14,15,4892.358187834055,-13.071636992124322,14.84474114164399,-26.87700390875095,693.6839713177835,-15.037719860823874,0.09625889409482552,0.0009168806146991028,0.2943621681097065,True
15,16,5054.408501303893,-6.757115189596344,12.514057364081076,-52.783759119403506,954.7257979040478,-37.39823041137468,0.09453085352279472,0.004114314770185419,0.19984076170445544,True
16,17,6622.079560458426,28.430004573262224,45.94990210219425,209.58431639070074,430.0130179364633,51.53256022974382,0.05106263567295288,0.009048323430900847,0.03039591147501815,True
17,18,4523.839113173793,9.658873423672581,25.84351365964531,-30.429780833684372,865.6898910172245,9.18104360181037,0.3007934692720468,0.011292627174563535,0.3169412415173903,True
18,19,6449.050595281277,29.985942657275988,48.101536883863105,203.92395761424186,436.6325498541789,44.53655999215174,0.048847064896450645,0.009291032252689978,0.032330693169451745,True
19,20,4632.6805471475145,8.056025924915017,22.6120331171067,-33.25432419223787,848.7017715568418,-1.1456826234345012,0.2477150777387666,0.008562776466460316,0.33706935887564343,True
20,21,6242.328235054048,28.884718211162845,45.97079592950788,161.26652373108584,386.72241374769754,41.097072264452194,0.057971261438874516,0.010109228302337936,0.03685837722407052,True
21,22,4781.621434567445,-4.01154509369582,9.382068186785236,-25.675820475408003,766.1195834221489,-17.24536632205507,0.17097508486765778,-0.0041832610274044795,0.40083291507911817,True
22,23,6119.728529939582,20.853566561936955,39.69466856838395,117.73282793230045,599.3507133813965,-4.165841256873783,0.0685331508621598,0.009085222736879152,0.05584563422917601,True
23,24,4880.059490344334,-3.29765676184671,13.051456596427899,-3.5661259529484077,724.5815976709235,-26.60826931703759,0.1583996927167479,0.005518860593874996,0.20679284682492885,True
24,25,6131.07310687894,27.995525630215383,46.71768363420121,153.07831928245028,494.0264754476369,34.98614568577759,0.06149269845985882,0.009899979805477178,0.040174507025155334,True
25,26,4854.976640984138,-1.7609014247568293,15.805639779965041,-16.530092541640258,806.4591871028349,-26.324704210766313,0.18739402311308023,0.006687398090180685,0.18400081550143751,True
26,27,6074.477818216456,25.78193251496271,44.734312353699266,110.85093835918012,662.3032023133801,7.603257893157134,0.06341911433788502,0.009457716000017798,0.0463493724390724,True
27,28,4853.132551297925,-3.779410650614853,14.883544108490812,-50.96771158925685,954.4963173717491,-33.3236526796346,0.29058739736907424,0.004741224812346794,0.2012691053137785,True
28,29,9444.860107435303,17.82519508639429,25.83415502408561,53.521699615603964,79.82744474998333,-2.419303650287266,0.12581955916770662,0.008601200746421254,0.03342761109645762,True
29,30,8566.577232191568,23.708241578182548,32.09319459320903,72.83809766703722,151.97838496984187,20.616535532447664,0.11538275892688832,0.01291629997109353,0.032656653742316064,True
30,31,9535.098306310283,25.637228904733046,26.39832440503076,70.9288220359358,63.04138085073617,26.867196947914604,0.11065402117753997,0.010954728356662266,0.025291886986332692,True
31,32,8557.291226007857,27.846956688604593,31.341315488996095,102.5234032900285,127.4906572825226,50.65550302017599,0.08003150167226757,0.01323443420835066,0.024910566875314392,True
32,33,9434.624056991239,22.982137833675303,25.07664140539883,82.2482477927567,40.45099972707305,26.297198676529817,0.09967642451510252,0.009979043852316608,0.02636300546451299,True
33,34,8559.624009757019,27.499233486487913,30.811103286262842,101.5317200776455,145.6095630859591,43.723253856865355,0.08924562320142133,0.012703374747006061,0.024404073218063038,True
34,35,9027.481820827612,22.328478220334365,30.173503328069277,118.14468596895045,129.37055800904184,6.86260422890881,0.10661067658443187,0.0034493314986073194,0.03637824096479112,True
